OBJECTID,OA01CD,OA01CDOLD,Shape__Area,Shape__Length,GlobalID
158261,E00148368,40UCGY0021,268870.429092407,3641.15317798776,50be2e7d-ae8f-4518-9354-183d63f6e7e9
96083,W00008287,00PPQE0004,62837.6831588745,1518.32323379018,93f3ffe9-ef67-4761-a88d-f97448d60a5a
96034,W00008238,00PPPX0003,107133.844978333,2134.27175486153,67b411b8-a5bd-425e-a892-9dfbba3ddf5f
173323,E00163492,46UFGJ0013,1900470.88336182,7500.6560758334,8728aa0f-e65f-4442-a3ae-48aea96a38a8
73152,E00073152,00HBNM0010,56850.9232902527,1463.97536830873,f092b943-14a5-4ad0-bbf8-3d8efec38657
76017,E00075645,00HDPS0044,92169.8640289307,1650.63717347406,a049454f-fbbc-4a2b-8cd7-9de22139d9e0
75476,E00075104,00HDNS0004,834031.075668335,5395.06634407325,abc8a504-1da0-4b58-873d-6331c541f6f8
76066,E00075694,00HDPU0022,26265.8803253174,1018.94506462647,76a5beb1-8764-4b5f-9833-ccc324ddc445
72771,E00072771,00HAPE0017,61477.1763648987,1182.81935582738,d8447284-6e5a-4126-ba3f-427311229aa3
73103,E00073103,00HAQB0016,29768.4884757996,1139.99077323827,55787602-96d4-4bb7-9361-475704d51caa
75453,E00075081,00HCQC0022,33470.190158844,813.07483757791,ab455f87-6d77-4618-bae1-ea7233679172
75874,E00075502,00HDPM0017,35908.1999740601,1093.10182137318,b6460ab3-c0a9-4974-a2d5-70bf34643b99
75880,E00075508,00HDPM0023,42464.7650604248,1065.35951663242,b4719509-efc6-43ca-89bb-15048582aecd
73787,E00073353,00HBNS0016,43788.7177505493,1189.94685757386,ea6f33b2-adc6-425e-96e6-6fc92ef8bcdd
73953,E00073581,00HBNZ0023,26325.6476287842,1099.61249274226,d6c1439d-2773-4d5a-8214-240040d9d6b0
73959,E00073587,00HBNZ0029,28054.3153343201,873.402320145768,0527c1c8-04e5-427a-bd93-c9fa5c236c49
76117,E00075745,00HDPX0015,53097.5212860107,1224.88428050435,42162443-242c-4d71-a458-b41a8d9b295d
73295,E00073295,00HBNQ0033,90865.4947776794,1507.1232107097,bc90576a-4260-4ea8-a07e-4ff040d4aa87
73289,E00073289,00HBNQ0027,34503.0275840759,1424.03671560658,3cc5137d-3915-4890-83a8-b5c3d19c3d56
74451,E00074079,00HBPP0001,35227.9272422791,1191.77665142116,522ef730-bd92-4595-bfdf-d0ba0c688fef
75708,E00075336,00HDPE0029,74719.6301040649,1517.21521406656,1e7f379c-e828-4b35-9883-d4b3861a7fa0
75951,E00075579,00HDPQ0022,41962.3963851929,1159.13165315025,a39bda07-b36c-4271-93f3-a745fac08739
72797,E00072797,00HAPG0003,214864.040225983,2972.54545508961,46a1fd8a-bc25-4f04-a591-05b96bb74cc9
73930,E00073558,00HBNY0039,44366.8790397644,1426.22774381814,11f342b4-303f-45b9-9fac-0c770fbc8195
74600,E00074228,00HBPT0001,49958.5756454468,1438.00887150971,68353508-c79c-438e-8f25-e12f7b5d970a
73389,E00073451,00HBNW0005,19078.2930603027,798.143206238237,21455fec-4f29-4096-98b7-d770eb14376b
74102,E00073730,00HBPD0022,50426.4917030334,1360.52523374553,46bdf03e-a4e4-440d-b90e-bdebba43b108
73936,E00073564,00HBNZ0006,31589.0799865723,858.757381793146,1d386d79-77ad-4f76-9ce8-e3233efeb159
75067,E00074695,00HCPH0003,56580.8200950623,1166.13827546779,58f87a9b-bec3-47e4-9a6b-019b6646a3d1
75233,E00074861,00HCPT0008,47445.4983482361,1258.03180149941,9eacf64f-3ddb-4ff0-a1fc-74bf689cc7b2
74569,E00074197,00HBPS0005,54867.1234436035,1587.83503890057,d3bd723b-18af-4b5b-95ae-49f4eaafffc0
75731,E00075359,00HDPF0019,180457.623096466,2680.94417982489,d239fdd9-1c64-4c69-9561-3c6b60b16402
172490,E00162659,46UCGX0011,513640.079238892,4097.82172989915,82f2fc34-baad-4120-85d1-4bb58b0f3734
161848,E00163735,46UFHC0013,313116.107303619,4033.64522398582,15f69009-4019-4865-b7ff-5ca29a63038c
161842,E00163729,46UFHC0007,85771.717792511,1719.35798114032,68b56c4b-2a2b-4b86-afea-9d7bfe293436
172662,E00162831,46UCHS0007,63185.0297012329,1426.34419077998,7cddd66a-8038-42ab-b11c-131966a2d2cf
